Gene_ID,C1:fpkm,C2:fpkm,C3:fpkm,L1:fpkm,L2:fpkm,L3:fpkm,H1:fpkm,H2:fpkm,H3:fpkm,Chromosome,Start Site,End Site,Direction,Length,Name,GO,KEGG,UniProtID,Description
Gene00001,1.033782974,1.976194103,0.722214761,1.203975478,1.488395855,2.068805806,0.810050813,0.604577659,0.667128805,BDRX01000001.1,685,9012,-,3924,Rsub_00001,GO:0016021,-,A0A2V0NP68,ERD4-related membrane protein
Gene00002,6.059544124,5.649251664,7.088461479,8.682071189,6.932058452,6.107238392,7.816137935,5.605343928,6.741009336,BDRX01000001.1,9274,13003,+,2514,Rsub_00002,GO:0017150; GO:0046872; GO:0050660,K05544,A0A2V0NJ55,tRNA-dihydrouridine synthase
Gene00003,0.978570075,1.501563123,1.067408934,1.178421713,0.576741146,1.120496064,4.171786734,2.926451988,3.332538878,BDRX01000001.1,13583,16402,-,2205,Rsub_00003,-,-,A0A2V0NLP7,hypothetical protein
Gene00004,2907.093825,3851.153778,2389.969658,2410.170717,3422.275976,3484.198672,1253.673158,934.4675977,1096.349214,BDRX01000001.1,16773,17946,+,390,Rsub_00004,GO:0016021,-,A0A2V0NP63,tRNA-dihydrouridine synthase
Gene00005,30.25162482,25.34524719,33.21693496,26.25943753,27.54215725,30.9158768,42.19801527,34.53041621,45.62856892,BDRX01000001.1,18260,23163,-,3699,Rsub_00005,-,-,A0A2V0NJ88,hypothetical protein
Gene00006,1.084241037,1.07287157,1.601113401,2.879298371,0.773292233,1.185300874,5.606826602,3.470023102,3.827212618,BDRX01000001.1,23972,29288,+,4020,Rsub_00006,-,-,A0A2V0NR23,hypothetical protein
Gene00007,1.240727856,0.753395382,1.879387326,1.746373458,1.140349981,1.010953404,2.019730514,1.917993217,2.521691323,BDRX01000001.1,29927,35229,-,4626,Rsub_00007,-,-,A0A2V0NJ61,hypothetical protein
Gene00008,34288.17085,37430.36691,35989.83931,41088.58152,38799.58537,46347.59709,35568.7398,36062.27682,31004.99726,BDRX01000001.1,36199,37760,+,783,Rsub_00008,GO:0009522; GO:0009523; GO:0009535; GO:0009765; GO:0016021; GO:0016168; GO:0018298,K08913,A0A2V0NQT7,chlorophyll a-b binding protein
Gene00009,0.167545525,0.217463002,0.159844932,0.4192479,0.391851305,0.342580951,0.106846817,0.315788717,0.229250673,BDRX01000001.1,38753,41542,+,1803,Rsub_00009,GO:0046872,-,A0A2V0NJ82,zinc finger CCCH domain-containing protein
Gene00010,1083.903221,831.1893826,1093.123786,873.6285182,901.1681229,999.5285235,1303.944921,1514.88356,1454.769014,BDRX01000001.1,43169,44369,-,429,Rsub_00010,-,-,A0A2V0NK02,hypothetical protein
Gene00011,20.81027121,13.0695264,5.870749139,5.56429307,3.977377826,4.608040063,10.38141484,7.275245715,15.51296848,BDRX01000001.1,44760,45648,+,450,Rsub_00011,-,-,A0A2V0NP75,hypothetical protein
Gene00012,0.079916556,0.080676089,0.533704467,0.699911078,0.43611599,0,0.178374825,0.175730573,0.425245846,BDRX01000001.1,45750,46426,-,540,Rsub_00012,-,-,A0A2V0NJC7,hypothetical protein
Gene00013,10.77882806,12.96151378,15.26130129,12.27736581,12.36983534,6.806319066,8.800807503,4.966930241,6.325971269,BDRX01000001.1,46734,49110,-,1089,Rsub_00013,GO:0008641,K12164,A0A2V0NLQ7,ubiquitin-like modifier-activating enzyme 5
Gene00014,12.03438496,11.4301957,13.76331083,13.89955746,11.2015062,8.986371986,11.12122905,10.06456917,11.69744156,BDRX01000001.1,49599,54148,+,2607,Rsub_00014,-,-,A0A2V0NP71,hypothetical protein
